iter	RMSE
0	0.2693578462
1	0.2621676468
2	0.255408252
3	0.2489455979
4	0.2417921704
5	0.2351993114
6	0.2291097854
7	0.2236650132
8	0.2185915358
9	0.2136853923
10	0.2089723004
11	0.204234202
12	0.2000422142
13	0.1959625166
14	0.1920525565
15	0.1890110178
16	0.1856189824
17	0.1823067795
18	0.1791943927
19	0.1763526218
20	0.1736219687
21	0.171341365
22	0.1690085536
23	0.1669560425
24	0.1647467731
25	0.1635204341
26	0.1619471414
27	0.1598648305
28	0.1580881143
29	0.1563611336
30	0.1545155376
31	0.1530183919
32	0.151854021
33	0.1507386373
34	0.1497384176
35	0.1484058286
36	0.1472698728
37	0.1463210482
38	0.1451447557
39	0.1441526376
40	0.1430935967
41	0.1422237431
42	0.141547217
43	0.1407991932
44	0.1397577577
45	0.138672003
46	0.1377148334
47	0.1371618247
48	0.1366341131
49	0.1359994582
50	0.1351464257
51	0.1345802254
52	0.1341641501
53	0.1333261897
54	0.1329279284
55	0.1323710459
56	0.131725494
57	0.1313550255
58	0.130862098
59	0.1302766112
60	0.1297642499
61	0.1294847886
62	0.1291646992
63	0.1289423552
64	0.128498437
65	0.1277742425
66	0.1273823615
67	0.1269631203
68	0.126540933
69	0.1262696703
70	0.1259186096
71	0.1256194011
72	0.1253615782
73	0.1251247948
74	0.1248741681
75	0.1244704028
76	0.1241217534
77	0.1239453837
78	0.123620558
79	0.1233317131
80	0.1232834436
81	0.1231671445
82	0.1230756149
83	0.1228175235
84	0.1222852869
85	0.122137494
86	0.1220089348
87	0.1219295901
88	0.1217863984
89	0.1216215157
90	0.121495411
91	0.1213568315
92	0.1211906965
93	0.1210137931
94	0.1207132537
95	0.1205406618
96	0.1204842017
97	0.1203859383
98	0.1202517166
99	0.1200949512
100	0.1199909281
101	0.1197502841
102	0.1196141913
103	0.1194143638
104	0.1193404772
105	0.1192824587
106	0.1191968303
107	0.1190602888
108	0.1189805194
109	0.1189271556
110	0.1189057714
111	0.118828231
112	0.11874855
113	0.1186769736
114	0.1184536976
115	0.1184388692
116	0.1183720562
117	0.1183221346
118	0.1182435824
119	0.1179573381
120	0.1178810648
121	0.1178545765
122	0.1176203464
123	0.1174960023
124	0.1174019877
125	0.1173672439
126	0.1173162612
127	0.11708999
128	0.1167903969
129	0.1165864641
130	0.1165573624
131	0.1165109906
132	0.1164925967
133	0.1164025206
134	0.1163631428
135	0.1162697602
136	0.1161951436
137	0.1161104787
138	0.1160966508
139	0.116046621
140	0.1160405647
141	0.1159729528
142	0.1159502342
143	0.1159135795
144	0.1159032227
145	0.1157317747
146	0.1157231171
147	0.1156896094
148	0.1156812534
149	0.1156689511
150	0.1156154187
151	0.1156098241
152	0.1155808505
153	0.1155556356
154	0.1155236042
155	0.1155073992
156	0.1154834106
157	0.1154382399
158	0.1154150266
159	0.1153971821
160	0.1153788639
161	0.115358479
162	0.1153285876
163	0.1153252564
164	0.1152979672
165	0.1152333169
166	0.1149357464
167	0.1149039905
168	0.1148803204
169	0.11476873
170	0.1147677722
171	0.1147545732
172	0.1147424933
173	0.1147150179
174	0.1146910157
175	0.1146795117
176	0.114677419
177	0.1146736537
178	0.1146672461
179	0.1145294273
180	0.114527859
181	0.1145276906
182	0.1145260804
183	0.1144161831
184	0.1143126076
185	0.1142731841
186	0.1142242888
187	0.1142137624
188	0.1140547606
189	0.1139963436
190	0.1139786318
191	0.1139723889
192	0.1139588175
193	0.113939799
194	0.1136861697
195	0.1136781749
196	0.1134712504
197	0.11344676
198	0.1134238943
199	0.1131680976
200	0.1131390916
201	0.1131179878
202	0.1129439011
203	0.1129331342
204	0.1129254669
205	0.1127565316
206	0.1127347864
207	0.112728689
208	0.1126841477
209	0.1126040505
210	0.112597682
211	0.1125708458
212	0.1125516944
213	0.1123751315
214	0.1123668741
215	0.1123173478
216	0.1123034618
217	0.1120666417
218	0.1119138034
219	0.1118316527
220	0.1118298201
221	0.1117985928
222	0.111605561
223	0.1115838877
224	0.1115480036
225	0.1115165938
226	0.1115121848
227	0.1115057059
228	0.1114223324
229	0.1112866805
230	0.1112696916
231	0.1112656363
232	0.1112623806
233	0.1112023514
234	0.1111335346
235	0.1110910167
236	0.1110875169
237	0.1110772831
238	0.1110279847
239	0.1109952413
240	0.1108858767
241	0.1107646311
242	0.1107353697
243	0.1107235671
244	0.1106574791
245	0.1106185314
246	0.1106104651
247	0.1105120116
248	0.1104443871
249	0.1104419235
250	0.1104346282
251	0.1104264507
252	0.1103433979
253	0.1102925424
254	0.1102726271
255	0.1102659586
256	0.1102244913
257	0.1102189064
258	0.1101278865
259	0.1101121093
260	0.1099544661
261	0.1098506469
262	0.1098447256
263	0.1097687678
264	0.1096918789
265	0.1096429951
266	0.1096375903
267	0.1095366242
268	0.1094050058
269	0.1093720264
270	0.1090812565
271	0.1090763857
272	0.1090002768
273	0.1089934867
274	0.1089715326
275	0.108935781
276	0.1089080826
277	0.1088213915
278	0.1087921981
279	0.1087652708
280	0.1087607764
281	0.1087361181
282	0.1086725009
283	0.1086703736
284	0.1085978076
285	0.1084207943
286	0.108418451
287	0.1084166156
288	0.1083897446
289	0.1083880209
290	0.1083692872
291	0.1083334757
292	0.1083078539
293	0.108298653
294	0.1082658785
295	0.1081768108
296	0.1080065433
297	0.1078472626
298	0.1078458383
299	0.1078405471
300	0.1078374636
301	0.1077642481
302	0.107748212
303	0.1076966892
304	0.1076665451
305	0.1076003906
306	0.1075984769
307	0.1075666072
308	0.1074687118
309	0.1074506595
310	0.1074039871
311	0.1073662152
312	0.1073568226
313	0.1073013679
314	0.1072445538
315	0.107243409
316	0.1071468054
317	0.1070990734
318	0.1069633489
319	0.1069059753
320	0.1068610601
321	0.1068602056
322	0.10680065
323	0.1068004508
324	0.1067828564
325	0.1067816047
326	0.1067140172
327	0.1066533925
328	0.1066413741
329	0.1065900502
330	0.1065873362
331	0.1065781695
332	0.1065650693
333	0.1065615876
334	0.1065413317
335	0.1065365424
336	0.1065258067
337	0.1065179992
338	0.1064289578
339	0.106428491
340	0.1062964273
341	0.1062746037
342	0.1062469326
343	0.1062316205
344	0.1061498797
345	0.1060802111
346	0.1060729602
347	0.1060024853
348	0.1059901513
349	0.1059455445
350	0.1058821579
351	0.1058350489
352	0.1057695399
353	0.1057584045
354	0.1057349537
355	0.1057237776
356	0.1056840787
357	0.1056127669
358	0.1055769586
359	0.1054528651
360	0.1053581162
361	0.1053459263
362	0.1053295555
363	0.1053233601
364	0.1053195844
365	0.1053149015
366	0.1053019692
367	0.1052590405
368	0.1052527999
369	0.1052503241
370	0.1051552228
371	0.1051454843
372	0.1051267276
373	0.1051211522
374	0.1050586115
375	0.1050514508
376	0.1050449885
377	0.1050398399
378	0.105019543
379	0.1050169431
