iter	Passed	Remaining
0	158	158634
1	160	80222
2	163	54271
3	165	41296
4	168	33531
5	171	28365
6	173	24663
7	176	21872
8	178	19685
9	181	17933
10	182	16452
11	185	15279
12	188	14274
13	190	13410
14	192	12661
15	194	11971
16	197	11409
17	199	10897
18	202	10436
19	204	10020
20	207	9652
21	209	9294
22	211	8995
23	214	8712
24	216	8450
25	218	8170
26	219	7926
27	222	7725
28	224	7533
29	227	7352
30	229	7188
31	232	7030
32	234	6880
33	237	6741
34	239	6606
35	241	6479
36	244	6361
37	246	6250
38	249	6147
39	251	6044
40	254	5947
41	256	5852
42	259	5764
43	261	5683
44	264	5603
45	266	5527
46	268	5452
47	271	5379
48	273	5311
49	276	5246
50	278	5183
51	280	5122
52	282	5053
53	285	4997
54	287	4932
55	289	4877
56	291	4826
57	293	4765
58	295	4717
59	298	4671
60	300	4626
61	302	4583
62	305	4543
63	307	4501
64	310	4461
65	312	4423
66	314	4386
67	317	4348
68	319	4313
69	321	4270
70	323	4236
71	325	4201
72	328	4167
73	330	4136
74	332	4106
75	335	4075
76	337	4047
77	339	4017
78	342	3989
79	344	3961
80	345	3924
81	348	3898
82	350	3872
83	352	3846
84	355	3823
85	356	3792
86	358	3763
87	361	3741
88	363	3718
89	365	3699
90	368	3678
91	370	3656
92	372	3637
93	375	3617
94	377	3598
95	380	3578
96	381	3548
97	382	3521
98	384	3503
99	387	3485
100	388	3459
101	390	3441
102	393	3424
103	395	3408
104	397	3391
105	399	3370
106	401	3347
107	403	3331
108	405	3311
109	407	3296
110	408	3274
111	410	3255
112	412	3241
113	415	3228
114	417	3214
115	418	3190
116	420	3176
117	423	3162
118	425	3150
119	427	3137
120	430	3125
121	431	3108
122	434	3096
123	436	3085
124	439	3073
125	440	3058
126	443	3046
127	445	3034
128	447	3024
129	450	3013
130	451	2996
131	454	2985
132	455	2969
133	457	2959
134	460	2949
135	462	2939
136	464	2925
137	466	2916
138	468	2900
139	470	2891
140	472	2876
141	474	2866
142	476	2853
143	477	2840
144	479	2828
145	481	2818
146	484	2809
147	486	2797
148	488	2789
149	489	2774
150	492	2766
151	493	2751
152	494	2740
153	496	2728
154	499	2720
155	500	2708
156	502	2697
157	504	2689
158	507	2682
159	508	2669
160	510	2658
161	511	2648
162	514	2641
163	516	2631
164	518	2623
165	520	2617
166	523	2610
167	525	2603
168	528	2597
169	530	2590
170	532	2579
171	534	2572
172	536	2566
173	539	2560
174	541	2554
175	544	2547
176	546	2538
177	547	2527
178	548	2516
179	551	2511
180	552	2500
181	553	2489
182	554	2477
183	557	2471
184	559	2465
185	561	2459
186	563	2450
187	565	2442
188	567	2436
189	570	2430
190	572	2424
191	574	2415
192	576	2409
193	578	2404
194	581	2398
195	582	2388
196	584	2382
197	586	2376
198	589	2371
199	591	2366
200	594	2361
201	596	2356
202	598	2351
203	601	2345
204	602	2336
205	604	2331
206	607	2326
207	609	2319
208	611	2313
209	613	2308
210	616	2303
211	618	2298
212	619	2290
213	622	2285
214	623	2277
215	625	2271
216	628	2267
217	630	2262
218	632	2257
219	635	2252
220	636	2243
221	638	2239
222	641	2234
223	643	2230
224	646	2225
225	648	2220
226	650	2215
227	653	2211
228	655	2206
229	657	2202
230	659	2195
231	661	2190
232	663	2183
233	665	2179
234	668	2175
235	670	2171
236	673	2166
237	674	2159
238	676	2154
239	679	2150
240	681	2145
241	683	2141
242	686	2137
243	687	2130
244	690	2126
245	692	2122
246	694	2116
247	696	2112
248	699	2108
249	701	2104
250	702	2097
251	704	2090
252	706	2086
253	708	2081
254	711	2077
255	712	2070
256	714	2067
257	717	2063
